folio,LB_n_kids,LB_comuna_esc,LB_bebe,LB_consentimiento,LB_estrato,LB_edad_post,LB_jefa_hog,LB_cant_nino,LB_cuida_infantil,LB_asiste_post,LB_edu_max1,LB_edu_max2,LB_edu_max3,LB_edu_max4,LB_edu_anos,LB_educ_i,LB_participa,LB_ocupadas,LB_desempleo,LB_contrato,LB_hrs_trabaja,LB_mes_trabaja,LB_ing_laboral,LB_ingpercap_post,LB_stress,treatment,est1,est2,est3,est4,est_rbd,trat,control,seg,part,comuna_esc,LB_rbd
12,1,Tocopilla,0,Si,3,39,0,2,1,No Asiste,0,0,1,0,12,0,1,1,0,1,8,8,,148.30508,6,Treated,0,0,1,0,3,1,,1,0,18,1
42,1,Tocopilla,0,Si,3,28,1,1,1,No Asiste,0,0,1,0,10,0,1,1,0,1,8,12,529.66101,264.83051,,Treated,0,0,1,0,3,1,,,0,18,1
43,1,Tocopilla,0,Si,3,24,1,1,1,No Asiste,0,0,1,0,10,0,1,1,0,0,9,3,169.49153,84.745766,,Treated,0,0,1,0,3,1,,,0,18,1
25,1,Tocopilla,0,Si,4,50,1,1,,No Asiste,0,0,1,0,12,0,0,0,,,,,0,0,,Treated,0,0,0,1,4,1,,1,1,18,1
37,1,Tocopilla,0,Si,3,34,0,2,1,No Asiste,0,0,1,0,12,0,1,1,0,0,3,12,127.11864,243.64407,5,Control,0,0,1,0,3,,1,,0,18,1
63,1,Tocopilla,0,Si,3,44,1,2,1,No Asiste,0,0,1,0,13,0,1,1,0,1,8,12,423.72882,264.83051,6,Treated,0,0,1,0,3,1,,1,0,18,1
56,1,Tocopilla,0,Si,3,49,1,1,1,No Asiste,0,0,1,0,10,0,1,1,0,0,6,5,466.10168,233.05084,,Control,0,0,1,0,3,,1,1,0,18,1
1,1,Tocopilla,0,Si,3,58,0,1,1,No Asiste,0,0,1,0,12,0,1,1,0,1,9,11,296.61017,232.52118,4,Treated,0,0,1,0,3,1,,1,1,18,1
70,1,Tocopilla,1,Si,2,27,1,2,0,No Asiste,0,0,1,0,12,0,1,0,1,0,6,4,211.86441,70.621468,,Treated,0,1,0,0,2,1,,1,1,18,1
27,1,Tocopilla,0,Si,3,40,0,1,1,No Asiste,0,0,1,0,12,0,1,1,0,0,8,12,381.35593,127.11864,,Treated,0,0,1,0,3,1,,1,0,18,1
5,1,Tocopilla,0,Si,3,45,1,2,1,No Asiste,0,0,1,0,12,0,1,1,0,1,8,9,508.47458,169.49153,,Treated,0,0,1,0,3,1,,1,1,18,1
20,2,Tocopilla,0,Si,3,48,0,1,1,No Asiste,0,1,0,0,8,0,1,1,0,0,8,12,317.7966,195.97458,6,Treated,0,0,1,0,3,1,,1,1,18,1
107,1,Tocopilla,0,Si,3,26,1,1,1,No Asiste,0,0,1,0,12,0,1,1,0,0,12,12,423.72882,79.44915,8,Treated,0,0,1,0,3,1,,,0,18,1
33,1,Tocopilla,0,Si,3,37,1,2,1,No Asiste,0,0,1,0,12,0,1,1,0,1,8,11,699.15253,233.05084,6,Treated,0,0,1,0,3,1,,1,0,18,1
29,1,Tocopilla,0,Si,4,35,0,2,,No Asiste,0,1,0,0,8,0,1,0,1,,,,84.745766,153.6017,,Control,0,0,0,1,4,,1,1,0,18,1
21,1,Tocopilla,0,Si,3,29,1,1,1,No Asiste,1,0,0,0,5,0,1,1,0,1,8,12,487.28815,243.64407,9,Treated,0,0,1,0,3,1,,1,0,18,1
2,2,Tocopilla,0,Si,4,38,0,2,1,No Asiste,0,0,1,0,10,0,0,0,,0,5,7,233.05084,213.18855,8,Treated,0,0,0,1,4,1,,1,1,18,1
38,1,Tocopilla,1,Si,1,24,0,2,1,No Asiste,0,0,1,0,12,0,1,1,0,,8,1,,201.27118,6,Control,1,0,0,0,1,,1,1,0,18,1
110,2,Tocopilla,0,Si,3,36,1,3,1,No Asiste,0,0,1,0,12,0,1,1,0,1,9,5,275.42374,68.855934,,Treated,0,0,1,0,3,1,,1,1,18,1
32,1,Tocopilla,0,Si,3,39,0,1,1,No Asiste,0,0,1,0,12,0,1,1,0,1,9,10,381.35593,338.98306,6,Treated,0,0,1,0,3,1,,1,1,18,1
95,1,Tocopilla,0,Si,3,36,1,2,1,No Asiste,0,0,1,0,10,0,1,1,0,1,8,12,391.94916,97.987289,,Treated,0,0,1,0,3,1,,1,0,18,1
52,1,Tocopilla,0,Si,4,25,0,1,,No Asiste,0,0,1,0,10,0,0,0,,,0,0,0,127.11864,,Control,0,0,0,1,4,,1,1,0,18,1
8,1,Tocopilla,0,Si,4,42,0,1,,No Asiste,0,0,1,0,10,0,1,0,1,,9,4,0,105.93221,,Treated,0,0,0,1,4,1,,1,1,18,1
64,2,Tocopilla,0,Si,3,39,1,2,1,No Asiste,0,0,1,0,12,0,1,1,0,0,8,12,391.94916,130.64972,4,Treated,0,0,1,0,3,1,,1,0,18,1
69,1,Tocopilla,0,Si,4,42,0,1,,No Asiste,0,1,0,0,8,0,0,0,,,0,0,0,176.55368,,Treated,0,0,0,1,4,1,,1,1,18,1
31,2,Tocopilla,0,Si,3,37,0,2,1,No Asiste,0,0,1,0,12,0,1,1,0,1,8,11,529.66101,307.2034,,Control,0,0,1,0,3,,1,1,0,18,1
119,1,Tocopilla,0,Si,4,40,1,1,0,No Asiste,0,1,0,0,6,0,0,0,,,0,0,158.8983,52.966103,,Treated,0,0,0,1,4,1,,1,1,18,1
74,1,Tocopilla,0,Si,3,43,1,1,1,No Asiste,0,1,0,0,8,0,1,1,0,0,3,2,148.30508,74.152542,,Treated,0,0,1,0,3,1,,1,1,18,1
7,1,Tocopilla,0,Si,3,38,1,1,0,No Asiste,1,0,0,0,0,1,1,1,0,1,0,0,105.93221,52.966103,,Treated,0,0,1,0,3,1,,1,1,18,1
120,2,Tocopilla,0,Si,3,28,0,2,,No Asiste,0,0,1,0,12,1,1,1,0,1,8,0,953.38983,238.34746,3,Treated,0,0,1,0,3,1,,1,0,18,1
93,1,Tocopilla,0,Si,3,42,1,2,1,No Asiste,0,0,1,0,9,0,1,1,0,1,10,12,529.66101,178.49576,2,Control,0,0,1,0,3,,1,1,1,18,1
4,1,Tocopilla,1,Si,1,58,1,4,1,No Asiste,0,0,0,1,16,1,1,1,0,1,9,12,1906.7797,529.66101,1,Control,1,0,0,0,1,,1,1,0,18,1
36,1,Tocopilla,0,Si,3,36,1,1,1,No Asiste,0,0,1,0,12,0,1,1,0,0,8,11,593.22034,296.61017,4,Treated,0,0,1,0,3,1,,1,0,18,1
57,1,Tocopilla,0,Si,3,35,1,1,,No Asiste,0,0,1,0,12,0,1,1,0,0,8,12,529.66101,264.83051,,Control,0,0,1,0,3,,1,1,0,18,1
14,1,Tocopilla,1,Si,1,28,0,2,1,No Asiste,0,0,1,0,12,0,1,1,0,1,8,4,381.35593,264.83051,5,Treated,1,0,0,0,1,1,,1,0,18,1
